            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459902.010416667, A.D. 2022-Nov-18 12:15:00.0000, -3.837565436230201E+05,  8.365970127440030E+04,  2.981169250234274E+04,
2459902.052083333, A.D. 2022-Nov-18 13:15:00.0000, -3.843142089351808E+05,  8.012803766468671E+04,  2.960863977721320E+04,
2459902.093750000, A.D. 2022-Nov-18 14:15:00.0000, -3.848388676049382E+05,  7.658926746495132E+04,  2.940303384584624E+04,
2459902.135416667, A.D. 2022-Nov-18 15:15:00.0000, -3.853304247416928E+05,  7.304368141823108E+04,  2.919488845273501E+04,
2459902.177083333, A.D. 2022-Nov-18 16:15:00.0000, -3.857887877102284E+05,  6.949157174094228E+04,  2.898421758363799E+04,
2459902.218750000, A.D. 2022-Nov-18 17:15:00.0000, -3.862138661540056E+05,  6.593323211378623E+04,  2.877103546640965E+04,
2459902.260416667, A.D. 2022-Nov-18 18:15:00.0000, -3.866055720186594E+05,  6.236895767229825E+04,  2.855535657181971E+04,
2459902.302083333, A.D. 2022-Nov-18 19:15:00.0000, -3.869638195756942E+05,  5.879904499703141E+04,  2.833719561436015E+04,
2459902.343750000, A.D. 2022-Nov-18 20:15:00.0000, -3.872885254463732E+05,  5.522379210336655E+04,  2.811656755303888E+04,
2459902.385416667, A.D. 2022-Nov-18 21:15:00.0000, -3.875796086257994E+05,  5.164349843093951E+04,  2.789348759215956E+04,
2459902.427083333, A.D. 2022-Nov-18 22:15:00.0000, -3.878369905071802E+05,  4.805846483267732E+04,  2.766797118208646E+04,
2459902.468750000, A.D. 2022-Nov-18 23:15:00.0000, -3.880605949062728E+05,  4.446899356343442E+04,  2.744003401999352E+04,
2459902.510416667, A.D. 2022-Nov-19 00:15:00.0000, -3.882503480860046E+05,  4.087538826822040E+04,  2.720969205059671E+04,
2459902.552083333, A.D. 2022-Nov-19 01:15:00.0000, -3.884061787812638E+05,  3.727795397001036E+04,  2.697696146686873E+04,
2459902.593750000, A.D. 2022-Nov-19 02:15:00.0000, -3.885280182238523E+05,  3.367699705712964E+04,  2.674185871073525E+04,
2459902.635416667, A.D. 2022-Nov-19 03:15:00.0000, -3.886158001675986E+05,  3.007282527020387E+04,  2.650440047375142E+04,
2459902.677083333, A.D. 2022-Nov-19 04:15:00.0000, -3.886694609136210E+05,  2.646574768866604E+04,  2.626460369775812E+04,
2459902.718750000, A.D. 2022-Nov-19 05:15:00.0000, -3.886889393357359E+05,  2.285607471681195E+04,  2.602248557551651E+04,
2459902.760416667, A.D. 2022-Nov-19 06:15:00.0000, -3.886741769060056E+05,  1.924411806939546E+04,  2.577806355132032E+04,
2459902.802083333, A.D. 2022-Nov-19 07:15:00.0000, -3.886251177204172E+05,  1.563019075675510E+04,  2.553135532158449E+04,
2459902.843750000, A.D. 2022-Nov-19 08:15:00.0000, -3.885417085246851E+05,  1.201460706946368E+04,  2.528237883540936E+04,
2459902.885416667, A.D. 2022-Nov-19 09:15:00.0000, -3.884238987401713E+05,  8.397682562492360E+03,  2.503115229511942E+04,
2459902.927083333, A.D. 2022-Nov-19 10:15:00.0000, -3.882716404899139E+05,  4.779734038881174E+03,  2.477769415677527E+04,
2459902.968750000, A.D. 2022-Nov-19 11:15:00.0000, -3.880848886247565E+05,  1.161079532907394E+03,  2.452202313065817E+04,
2459903.010416667, A.D. 2022-Nov-19 12:15:00.0000, -3.878636007495707E+05, -2.457961707255994E+03,  2.426415818172564E+04,
2459903.052083333, A.D. 2022-Nov-19 13:15:00.0000, -3.876077372495619E+05, -6.077069237400165E+03,  2.400411853003754E+04,
2459903.093750000, A.D. 2022-Nov-19 14:15:00.0000, -3.873172613166502E+05, -9.695921435666161E+03,  2.374192365115094E+04,
2459903.135416667, A.D. 2022-Nov-19 15:15:00.0000, -3.869921389759177E+05, -1.331419552146490E+04,  2.347759327648325E+04,
2459903.177083333, A.D. 2022-Nov-19 16:15:00.0000, -3.866323391121111E+05, -1.693156757493862E+04,  2.321114739364215E+04,
2459903.218750000, A.D. 2022-Nov-19 17:15:00.0000, -3.862378334961921E+05, -2.054771255697167E+04,  2.294260624672123E+04,
2459903.260416667, A.D. 2022-Nov-19 18:15:00.0000, -3.858085968119236E+05, -2.416230432975832E+04,  2.267199033656045E+04,
2459903.302083333, A.D. 2022-Nov-19 19:15:00.0000, -3.853446066824831E+05, -2.777501567793448E+04,  2.239932042096985E+04,
2459903.343750000, A.D. 2022-Nov-19 20:15:00.0000, -3.848458436970904E+05, -3.138551833028096E+04,  2.212461751491582E+04,
2459903.385416667, A.D. 2022-Nov-19 21:15:00.0000, -3.843122914376417E+05, -3.499348298200509E+04,  2.184790289066846E+04,
2459903.427083333, A.D. 2022-Nov-19 22:15:00.0000, -3.837439365053363E+05, -3.859857931760773E+04,  2.156919807790905E+04,
2459903.468750000, A.D. 2022-Nov-19 23:15:00.0000, -3.831407685472866E+05, -4.220047603434217E+04,  2.128852486379624E+04,
2459903.510416667, A.D. 2022-Nov-20 00:15:00.0000, -3.825027802830974E+05, -4.579884086627170E+04,  2.100590529299009E+04,
2459903.552083333, A.D. 2022-Nov-20 01:15:00.0000, -3.818299675314047E+05, -4.939334060893214E+04,  2.072136166763259E+04,
2459903.593750000, A.D. 2022-Nov-20 02:15:00.0000, -3.811223292363606E+05, -5.298364114460522E+04,  2.043491654728341E+04,
2459903.635416667, A.D. 2022-Nov-20 03:15:00.0000, -3.803798674940513E+05, -5.656940746820908E+04,  2.014659274880994E+04,
2459903.677083333, A.D. 2022-Nov-20 04:15:00.0000, -3.796025875788368E+05, -6.015030371381139E+04,  1.985641334623021E+04,
2459903.718750000, A.D. 2022-Nov-20 05:15:00.0000, -3.787904979695975E+05, -6.372599318177057E+04,  1.956440167050752E+04,
2459903.760416667, A.D. 2022-Nov-20 06:15:00.0000, -3.779436103758760E+05, -6.729613836651051E+04,  1.927058130929587E+04,
2459903.802083333, A.D. 2022-Nov-20 07:15:00.0000, -3.770619397638987E+05, -7.086040098493331E+04,  1.897497610663448E+04,
2459903.843750000, A.D. 2022-Nov-20 08:15:00.0000, -3.761455043824646E+05, -7.441844200547563E+04,  1.867761016259080E+04,
2459903.885416667, A.D. 2022-Nov-20 09:15:00.0000, -3.751943257886863E+05, -7.796992167781197E+04,  1.837850783285027E+04,
2459903.927083333, A.D. 2022-Nov-20 10:15:00.0000, -3.742084288735697E+05, -8.151449956321002E+04,  1.807769372825219E+04,
2459903.968750000, A.D. 2022-Nov-20 11:15:00.0000, -3.731878418874163E+05, -8.505183456554137E+04,  1.777519271426997E+04,
2459904.010416667, A.D. 2022-Nov-20 12:15:00.0000, -3.721325964650342E+05, -8.858158496295134E+04,  1.747102991043505E+04,
2459904.052083333, A.D. 2022-Nov-20 13:15:00.0000, -3.710427276507423E+05, -9.210340844019114E+04,  1.716523068970299E+04,
2459904.093750000, A.D. 2022-Nov-20 14:15:00.0000, -3.699182739231519E+05, -9.561696212161549E+04,  1.685782067776081E+04,
2459904.135416667, A.D. 2022-Nov-20 15:15:00.0000, -3.687592772197106E+05, -9.912190260484778E+04,  1.654882575227426E+04,
2459904.177083333, A.D. 2022-Nov-20 16:15:00.0000, -3.675657829609923E+05, -1.026178859951156E+05,  1.623827204207393E+04,
2459904.218750000, A.D. 2022-Nov-20 17:15:00.0000, -3.663378400747165E+05, -1.061045679402581E+05,  1.592618592627898E+04,
2459904.260416667, A.D. 2022-Nov-20 18:15:00.0000, -3.650755010194820E+05, -1.095816036664069E+05,  1.561259403335774E+04,
2459904.302083333, A.D. 2022-Nov-20 19:15:00.0000, -3.637788218081966E+05, -1.130486480143416E+05,  1.529752324012332E+04,
2459904.343750000, A.D. 2022-Nov-20 20:15:00.0000, -3.624478620311881E+05, -1.165053554765211E+05,  1.498100067066406E+04,
2459904.385416667, A.D. 2022-Nov-20 21:15:00.0000, -3.610826848789771E+05, -1.199513802347892E+05,  1.466305369520681E+04,
2459904.427083333, A.D. 2022-Nov-20 22:15:00.0000, -3.596833571646977E+05, -1.233863761987580E+05,  1.434370992891293E+04,
2459904.468750000, A.D. 2022-Nov-20 23:15:00.0000, -3.582499493461443E+05, -1.268099970448648E+05,  1.402299723060495E+04,
2459904.510416667, A.D. 2022-Nov-21 00:15:00.0000, -3.567825355474339E+05, -1.302218962561039E+05,  1.370094370142377E+04,
2459904.552083333, A.D. 2022-Nov-21 01:15:00.0000, -3.552811935802695E+05, -1.336217271624381E+05,  1.337757768341505E+04,
2459904.593750000, A.D. 2022-Nov-21 02:15:00.0000, -3.537460049647226E+05, -1.370091429818717E+05,  1.305292775804073E+04,
2459904.635416667, A.D. 2022-Nov-21 03:15:00.0000, -3.521770549496506E+05, -1.403837968621944E+05,  1.272702274462258E+04,
2459904.677083333, A.D. 2022-Nov-21 04:15:00.0000, -3.505744325326317E+05, -1.437453419233952E+05,  1.239989169870993E+04,
2459904.718750000, A.D. 2022-Nov-21 05:15:00.0000, -3.489382304794067E+05, -1.470934313007386E+05,  1.207156391037236E+04,
2459904.760416667, A.D. 2022-Nov-21 06:15:00.0000, -3.472685453428265E+05, -1.504277181884996E+05,  1.174206890241647E+04,
2459904.802083333, A.D. 2022-Nov-21 07:15:00.0000, -3.455654774812837E+05, -1.537478558843551E+05,  1.141143642852648E+04,
2459904.843750000, A.D. 2022-Nov-21 08:15:00.0000, -3.438291310766116E+05, -1.570534978344256E+05,  1.107969647132724E+04,
2459904.885416667, A.D. 2022-Nov-21 09:15:00.0000, -3.420596141514314E+05, -1.603442976789628E+05,  1.074687924036932E+04,
2459904.927083333, A.D. 2022-Nov-21 10:15:00.0000, -3.402570385859276E+05, -1.636199092986780E+05,  1.041301517003512E+04,
2459904.968750000, A.D. 2022-Nov-21 11:15:00.0000, -3.384215201340353E+05, -1.668799868617033E+05,  1.007813491736514E+04,
2459905.010416667, A.D. 2022-Nov-21 12:15:00.0000, -3.365531784390181E+05, -1.701241848711819E+05,  9.742269359804093E+03,
2459905.052083333, A.D. 2022-Nov-21 13:15:00.0000, -3.346521370484189E+05, -1.733521582134770E+05,  9.405449592865691E+03,
2459905.093750000, A.D. 2022-Nov-21 14:15:00.0000, -3.327185234283659E+05, -1.765635622069938E+05,  9.067706927715888E+03,
2459905.135416667, A.D. 2022-Nov-21 15:15:00.0000, -3.307524689772134E+05, -1.797580526516059E+05,  8.729072888673531E+03,
2459905.177083333, A.D. 2022-Nov-21 16:15:00.0000, -3.287541090384994E+05, -1.829352858786765E+05,  8.389579210628384E+03,
2459905.218750000, A.D. 2022-Nov-21 17:15:00.0000, -3.267235829132015E+05, -1.860949188016659E+05,  8.049257836375466E+03,
2459905.260416667, A.D. 2022-Nov-21 18:15:00.0000, -3.246610338712733E+05, -1.892366089673146E+05,  7.708140913865587E+03,
2459905.302083333, A.D. 2022-Nov-21 19:15:00.0000, -3.225666091624409E+05, -1.923600146073926E+05,  7.366260793371461E+03,
2459905.343750000, A.D. 2022-Nov-21 20:15:00.0000, -3.204404600262434E+05, -1.954647946910020E+05,  7.023650024569113E+03,
2459905.385416667, A.D. 2022-Nov-21 21:15:00.0000, -3.182827417012980E+05, -1.985506089774235E+05,  6.680341353534051E+03,
