            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2423359.500000000, A.D. 1922-Nov-01 00:00:00.0000, -3.998777497655995E+03,  7.981538782981258E+02, -4.892623058517262E+03,
2423389.500000000, A.D. 1922-Dec-01 00:00:00.0000, -4.795450010309981E+03, -1.348808174437108E+03, -3.968552278744316E+03,
2423420.500000000, A.D. 1923-Jan-01 00:00:00.0000, -4.298495030182772E+03, -3.641948968751693E+03, -2.970552081085194E+03,
2423451.500000000, A.D. 1923-Feb-01 00:00:00.0000, -2.599253330218716E+03, -5.381105745725155E+03, -2.202865079982821E+03,
2423479.500000000, A.D. 1923-Mar-01 00:00:00.0000, -4.186995820142308E+02, -6.068661859600250E+03, -1.887078529312291E+03,
2423510.500000000, A.D. 1923-Apr-01 00:00:00.0000,  2.092709217317663E+03, -5.657175422731835E+03, -2.044985537877875E+03,
2423540.500000000, A.D. 1923-May-01 00:00:00.0000,  3.984160618370805E+03, -4.194986602829936E+03, -2.663378127686269E+03,
2423571.500000000, A.D. 1923-Jun-01 00:00:00.0000,  4.853389353683697E+03, -1.993058584179857E+03, -3.610728561317482E+03,
2423601.500000000, A.D. 1923-Jul-01 00:00:00.0000,  4.419121736024103E+03,  2.360897264227997E+02, -4.580464627656677E+03,
2423632.500000000, A.D. 1923-Aug-01 00:00:00.0000,  2.773712407888439E+03,  2.018398185181359E+03, -5.366341372510642E+03,
2423663.500000000, A.D. 1923-Sep-01 00:00:00.0000,  3.666119340196806E+02,  2.782856794096326E+03, -5.717196448900749E+03,
2423693.500000000, A.D. 1923-Oct-01 00:00:00.0000, -2.058992016037958E+03,  2.350980391738222E+03, -5.549637335672613E+03,
2423724.500000000, A.D. 1923-Nov-01 00:00:00.0000, -3.987267821762133E+03,  8.146146932927752E+02, -4.899298898918993E+03,
2423754.500000000, A.D. 1923-Dec-01 00:00:00.0000, -4.794259755024798E+03, -1.329101847840778E+03, -3.976630880702015E+03,
2423785.500000000, A.D. 1924-Jan-01 00:00:00.0000, -4.308352181407319E+03, -3.624284426452884E+03, -2.977867585886077E+03,
2423816.500000000, A.D. 1924-Feb-01 00:00:00.0000, -2.617518679638313E+03, -5.370388733306301E+03, -2.207385851376765E+03,
